miejscowosc_id;kod_stacji;kod_miedzynarodowy;nazwa_stacji;stary_kod_stacji;data_uruchomienia;data_zamkniecia;typ_stacji;typ_obszaru;rodzaj_stacji;adres;uwagi;wgs84_fi_n;wgs84_lambda_e
2191;DsWrocOpor;;Wrocław - Oporowska;;1995-01-01;2004-12-31;tło;miejski;w budynku;ul. Oporowska 16;;51.098027;17.002063
2191;DsWrocOrzech;PL0196A;Wrocław, ul. Orzechowa;;2011-01-01;;tło;miejski;wolnostojący pobornik pyłu;ul. Orzechowa 61;;51.077525;17.042817
2191;DsWrocOrzechArch;;Wrocław - Orzechowa (PM10-Arch);;2005-01-01;2009-12-31;tło;miejski;wolnostojący pobornik pyłu;ul. Orzechowa 61;;51.077525;17.042816
2191;DsWrocPret;;Wrocław - Pretficza;;1994-01-01;2004-12-31;tło;miejski;w budynku;ul. Pretficza 7;;51.090895;17.013682
2191;DsWrocSklad;;Wrocław - Składowa;;1977-01-01;2004-12-31;tło;miejski;w budynku;ul. Składowa 1/3;;51.119722;17.0275
2191;DsWrocTech;;Wrocław - Mł.Techników;;1986-01-01;2004-12-31;tło;miejski;w budynku;ul. Młodych Techników 7;;51.113611;17.013056
2191;DsWrocUkr;PL0009A;Wrocław - Ukryta;;1998-01-01;2005-12-31;tło;miejski;w budynku;ul. Ukryta 10;;51.117029;17.053859
2191;DsWrocWie;PL0025A;Wrocław - Wierzbowa;;1994-11-08;2011-12-31;tło;miejski;w budynku;ul. Wierzbowa 14/16;;51.10549;17.036471
2191;DsWrocWybCon;PL0194A;Wrocław, wyb. Conrada-Korzeniowskiego;DsWrocKorzA;2005-01-01;;tło;miejski;kontenerowa stacjonarna;ul. Wyb. J.Conrada-Korzeniowskiego 18;;51.129378;17.02925
413;DsWyszkow;PL0320A;Wyszków;;1996-01-01;2013-12-31;przemysłowa;pozamiejski;kontenerowa stacjonarna;;;50.963536;14.993653
3;DsZabkKlodz;;Ząbkowice Śląskie - ul. Kłodzka;;1977-01-02;2005-12-31;tło;miejski;w budynku;ul. Kłodzka 2;;50.586033;16.809694
3;DsZabkPowWar;PL0321A;Ząbkowice Śląskie;DsZabkowSemi;2008-09-01;2020-12-08;tło;miejski;kontenerowa stacjonarna;ul. Powstańców Warszawy 5;;50.592325;16.819786
3477;DsZameczno;;Zameczno;;1980-01-01;2003-12-31;przemysłowa;pozamiejski;w budynku;;;51.669507;15.932111
2244;DsZgorBohGet;PL0198A;Zgorzelec, ul. Bohaterów Getta;DsZgorzBohA;2005-01-01;;tło;miejski;kontenerowa stacjonarna;ul. Bohaterów Getta 1a;;51.150391;15.008175
2244;DsZgorzMar;PL0199A;Zgorzelec - Maratońska;;2005-01-01;2007-12-31;tło;miejski;wolnostojący pobornik pyłu;ul. Maratońska;;51.145777;15.012233
2244;DsZgorzOrz;PL0322A;Zgorzelec - Orzeszkowej;;1996-01-01;2013-12-31;przemysłowa;miejski;kontenerowa stacjonarna;ul. Orzeszkowej 3;;51.130156;15.001958
2244;DsZgorzWar;;Zgorzelec - Warszawska;;1995-01-03;2004-12-31;tło;miejski;w budynku;ul. Warszawska 11;;51.148418;15.007949
86;DsZlotKosc;;Złotoryja - Kościuszki;;2000-01-01;2002-12-31;tło;miejski;kontenerowa stacjonarna;ul. Kościuszki 5;;51.123326;15.911288
86;DsZlotoryjaPMArch;;Złotoryja - Staszica (PM10-Arch);;2009-01-01;2009-12-31;tło;miejski;kontenerowa stacjonarna;ul. Stanisława Staszica 22;;51.1239;15.920289
86;DsZlotoStasz;PL0477A;Złotoryja - Staszica;DsZlotoryjaPM;2011-01-01;2019-12-31;tło;miejski;wolnostojący pobornik pyłu;ul. Stanisława Staszica 22;;51.1239;15.920289
1362;DsZukowice;;Żukowice;;1980-01-01;2003-12-31;przemysłowa;pozamiejski;w budynku;;;51.667269;15.984407
4182;KpAirpKoluda;PL0601A;Kołuda Wielka Airpointer;;2013-04-25;2014-01-02;tło;pozamiejski;mobilna;;;52.735809;18.148974
7572;KpBrodKochan;PL0606A;Brodnica, ul. Kochanowskiego;KpBrodnicaKochanowskiego;2015-01-01;;tło;miejski;wolnostojący pobornik pyłu;ul. Kochanowskiego;;53.249264;19.415086
7572;KpBrodnZwirki;PL0323A;"Brodnica ""Żwirki""";;2003-03-16;2010-12-31;tło;miejski;w budynku;ul. Żwirki i Wigury 1;;53.2575;19.406667
6448;KpBydFieldor;PL0491A;Bydgoszcz, ul. Fieldorfa;KpBydgBerlinga, KpBydBerling;2010-04-01;;tło;podmiejski;wolnostojący pobornik pyłu;ul. gen. Augusta Emila Fieldorfa „Nila” 13;;53.151452;18.132062
6448;KpBydgATRKalisk;PL0324A;"Bydgoszcz ""Fordon ATR""";;1990-01-02;2010-12-31;tło;miejski;w budynku;ul. Kaliskiego 7;;53.142778;18.126944
6621;KpBydgBlota;;Bydgoszcz Białe Błota;;2006-01-09;2009-12-31;tło;podmiejski;mobilna;ul. Szubińska 8;;53.100278;17.920278
6448;KpBydgChemEC;PL0583A;Bydgoszcz Chemiczna EC;;2012-01-01;2013-12-31;przemysłowa;podmiejski;mobilna;ul. Chemiczna;;53.104444;18.073611
6448;KpBydgCO;;Bydgoszcz Centrum Onkologiczne;;2006-08-22;2009-12-31;tło;miejski;mobilna;ul. Berlinga 13;;53.150833;18.131389
6448;KpBydgMorska;PL0325A;"Bydgoszcz ""Morska""";;1993-01-18;2010-12-31;tło;miejski;w budynku;ul. Morska 2;;53.1275;18.054444
6448;KpBydgUjejskiego;PL0063A;"Bydgoszcz ""Szpital XXX-lecia""";;1981-01-13;2010-12-31;tło;miejski;kontenerowa stacjonarna;ul. Ujejskiego 75;;53.114722;18.027222
6448;KpBydgWPola;PL0065A;"Bydgoszcz ""W. Pola""";;1994-01-04;2010-12-31;tło;miejski;w budynku;ul. W. Pola 19;;53.125;17.975833
6448;KpBydgWzgWolnosci;;Bydgoszcz Wzgórze Wolności;;2008-03-31;2009-12-31;tło;miejski;mobilna;ul. Słowiańska 7;;53.115833;18.016111
6448;KpBydgZachemHutn;PL0326A;Zachem - Hutnicza;;1999-03-01;2012-12-31;przemysłowa;miejski;w budynku;ul. Hutnicza 89;;53.101667;18.106111
6448;KpBydgZachemWojska;PL0327A;"Bydgoszcz ""Zachem2""";;1983-01-11;2009-12-31;tło;miejski;w budynku;ul. Wojska Polskiego 46;;53.102222;18.059444
6448;KpBydJezdzie;PL0760A;Bydgoszcz, ul. Jeździecka;;2024-01-04;;tło;podmiejski;kontenerowa stacjonarna;ul. Jeździecka;;53.175214;18.044164
6448;KpBydPlPozna;PL0252A;Bydgoszcz, pl. Poznański;KpBydgPlPozn;2006-01-06;;komunikacyjna;miejski;kontenerowa stacjonarna;Plac Poznański;;53.121764;17.987906
6448;KpBydWarszaw;PL0064A;Bydgoszcz, ul. Warszawska;KpBydgWarszawska;1995-01-21;;tło;miejski;kontenerowa stacjonarna;ul. Warszawska 10;;53.134083;17.995708
7180;KpChelmLunawMOB;PL0737A;Chełmno, Łunawska 3A;;2020-01-08;2021-01-04;tło;miejski;mobilna;ul. Łunawska 3A;;53.351975;18.447498
7180;KpChelmnLunawska;PL0328A;"Chełmno ""Łunawska""";;2003-03-16;2010-12-31;tło;miejski;w budynku;ul. Łunawska 2A;;53.348611;18.445278
6568;KpCiechTezni;PL0066A;Ciechocinek, ul. Tężniowa;KpCiechoTezniowa;1995-04-05;;tło;podmiejski;kontenerowa stacjonarna;ul. Tężniowa - Park Tężniowy;;52.888422;18.780908
6110;KpDAFAleksandrowK;;Aleksandrów Kujawski;;2010-01-01;2010-12-31;tło;miejski;mobilna;ul. Słowackiego 18;;52.878333;18.6975
5695;KpDAFBrzescK;;Brześć Kujawski;;2005-03-01;2005-09-30;tło;miejski;mobilna;ul. Kilińskiego;;52.605;18.906944
5416;KpDAFChelmza;;Chełmża (stacja mobilna);;2010-08-01;2010-11-16;tło;miejski;mobilna;ul. Gen. J.Hallera 2;;53.186389;18.610556
6412;KpDAFChodecz;;Chodecz;;2008-01-01;2008-12-31;tło;miejski;mobilna;ul. I Armii Wojska Polskiego;;52.401667;19.029444
6668;KpDAFDobrzynUM;;Dobrzyń UM;;2003-01-01;2007-12-31;tło;miejski;mobilna;ul. Szkolna 4;;52.637778;19.321667
9034;KpDAFGolub;;Golub - Dobrzyń (stacja mobilna);;2005-06-01;2009-06-17;tło;miejski;mobilna;ul. Dworcowa;;53.120556;19.050556
5900;KpDAFIzbica;;Izbica Kujawska;;2006-09-01;2010-12-31;tło;pozamiejski;mobilna;ul. Warszawska 2;;52.419478;18.767222
6605;KpDAFLasin;;Łasin (stacja mobilna);;2006-03-06;2006-05-13;tło;miejski;mobilna;ul. Odrodzenia Polski 5;;53.518333;19.089444
6925;KpDAFMarusza;;Marusza (stacja mobilna);;2008-02-01;2008-05-13;tło;podmiejski;mobilna;ul. Warszawska 36;;53.453889;18.791667
8970;KpDAFNieszawa;;Nieszawa;;2006-05-01;2006-12-31;tło;miejski;mobilna;ul. Laskowskiego 3;;52.838611;18.895
8805;KpDAFRadziejowRPGK;;Radziejów RPGK;;2009-01-01;2009-12-31;tło;miejski;mobilna;ul. Komunalna 19;;52.629722;18.530278
7575;KpDAFRadzyn;;Radzyń Chełmiński (stacja mobilna);;2010-01-01;2010-05-20;tło;miejski;mobilna;ul. Sady 14;;53.381944;18.936944
6374;KpDAFRypinKOMES;;RypinKOMES;;2009-01-01;2009-12-31;tło;miejski;mobilna;ul. E. Orzeszkowej 4;;53.065556;19.405278
6925;KpGrudPilsud;PL0580A;Grudziądz, ul. Piłsudskiego;KpAirpGrudz;2012-03-01;;komunikacyjna;miejski;kontenerowa stacjonarna;ul. Piłsudskiego 51;;53.49355;18.762139
6925;KpGrudSienki;PL0542A;Grudziądz, ul. Sienkiewicza;KpGrudzStar;2011-04-29;;tło;miejski;wolnostojący pobornik pyłu;ul. Sienkiewicza 27;;53.491831;18.752503
6925;KpGrudzIkara;PL0200A;"Grudziądz ""Ikara""";;2003-03-16;2010-12-31;tło;miejski;w budynku;ul. Ikara 8;;53.464167;18.769444
6925;KpGrudzKosynierow;PL0329A;"Grudziądz ""Kosynierów""";;1993-01-04;2010-12-31;tło;miejski;w budynku;ul. Kosynierów Gdyńskich 31;;53.492778;18.754167
8103;KpInowOsMatwMOB;PL0656A;Inowrocław Mątwy airponter;KpAirpInowrMatwy;2016-02-04;2017-01-10;przemysłowa;miejski;mobilna;ul. Chemiczna;;52.755688;18.25438
8103;KpInowrKleeberga;PL0330A;"Inowrocław ""Rąbin""";;2003-03-16;2009-12-31;tło;miejski;w budynku;ul. Kleeberga 1;;52.786667;18.250556
8103;KpInowrMatewska;;"Soda-Mątwy ""Mątewska""";;1995-07-01;2011-12-31;przemysłowa;miejski;kontenerowa stacjonarna;ul. Mątewska 34;;52.751944;18.2625
8103;KpInowrPlacKlaszt;PL0331A;"Inowrocław ""Śródmieście""";;2003-01-01;2010-12-31;tło;miejski;w budynku;ul. Klac Klasztorny 1b;;52.796667;18.258889
8103;KpInowrPoznanska;;"Inowrocław ""Poznańska""";;1992-02-01;2011-12-31;przemysłowa;miejski;kontenerowa stacjonarna;ul. Poznańska 307;;52.75;18.2525
8103;KpInowrSolan;PL0067A;Inowrocław Solankowa;;2012-01-01;2012-12-31;tło;miejski;kontenerowa stacjonarna;ul. Solankowa;;52.79329;18.24109
8103;KpInowrSolankowa;;"Inowrocław ""Uzdrowisko""";;2003-03-16;2010-12-31;tło;miejski;kontenerowa stacjonarna;ul. Solankowa 77;;52.793611;18.243333
8103;KpInowSolank;PL0581A;Inowrocław, ul. Solankowa;KpAirpInowr;2011-03-04;;tło;podmiejski;kontenerowa stacjonarna;ul. Solankowa;;52.793122;18.241044
7365;KpKoniczynka;PL0068A;Koniczynka, Pojezierze Chełmińskie;KpKoniczZMSP;1996-01-01;;tło;pozamiejski;kontenerowa stacjonarna;Pojezierze Chełmińskie;;53.080647;18.684258
6627;KpKruszwicamob;;Kruszwica;;2010-03-10;2010-05-13;tło;miejski;mobilna;ul. Niepodległości;;52.678056;18.314167
7380;KpKruszynLotnisko;;Lotnisko Kruszyn;;2000-01-19;2004-12-31;tło;pozamiejski;w budynku;;;52.586114;19.01
5436;KpMogilKosciuszki;PL0332A;Mogilno;;2003-03-16;2010-12-31;tło;miejski;w budynku;ul. T. Kościuszki 3;;52.659167;17.949722
5436;KpMogiNowMOB;PL0751A;Mogilno,Kościuszki;KpMogilnoNowa;2019-01-03;2021-01-07;tło;miejski;mobilna;ul. Kościuszki;;52.656842;17.949565
6318;KpNakloSkargi;;Nakło;;2003-03-16;2010-12-31;tło;miejski;kontenerowa stacjonarna;ul. P. Skargi 2;;53.139444;17.607778
6318;KpNaklSkargi;PL0201A;Nakło Piotra Skargi;KpNakloPiotraSkargi;2011-01-01;2020-01-01;tło;miejski;kontenerowa stacjonarna;ul. Piotra Skargi;;53.138358;17.605139
6318;KpNaklWawrzy;PL0683A;Nakło nad Notecią, ul. Św. Wawrzyńca;KpNakloNowa;2020-12-29;;tło;miejski;kontenerowa stacjonarna;ul. Świętego Wawrzyńca;;53.136681;17.591539
5633;KpNwiesNaftobazy;PL0333A;Naftobazy;;1990-01-01;2013-12-31;przemysłowa;pozamiejski;kontenerowa stacjonarna;ul. Przemyslowa;Wybrano miejscowość SIMC: Nowa Wieś Wielka (0092775). Podstawa korekty: dokładna nazwa SIMC w gminie z GUGiK. Dodatkowe uwagi: brak polskich znaków w GIOŚ: WIES -> Wieś.;52.970278;18.091389
5907;KpPiech;PL0334A;Lafarge-Piechcin;;1998-06-01;2011-12-31;przemysłowa;pozamiejski;kontenerowa stacjonarna;;"Wybrano miejscowość SIMC: Piechcin (0079409). Podstawa korekty: dokładna nazwa SIMC po pominięciu rodzaju_gminy; istnieją dwa rekordy Piechcin. Dodatkowe uwagi: wybrano podstawową miejscowość RM=01; wymaga akceptacji.";52.816389;18.032778
5922;KpPrzysRCRRiOW;;Przysiek - RCRRiOW;;1996-05-15;2005-03-31;BRAK DANYCH;pozamiejski;w budynku;;;53.029444;18.504444
5441;KpSadlog;PL0202A;Lafarge-Sadłogoszcz;;2001-03-20;2011-12-31;tło;pozamiejski;kontenerowa stacjonarna;;;52.844722;18.005
5332;KpSepolno;;Sępólno Krajeńskie;;2006-02-20;2009-12-31;tło;miejski;mobilna;ul. Sienkiewicza 54;;53.4475;17.527778
9014;KpSolecRowecMOB;PL0780A;Solec Kujawski, ul. gen. Roweckiego;KpSolecBojowMOB;2021-01-04;2022-12-28;tło;miejski;mobilna;"ul. gen. Stefana Roweckiego ""Grota""";;53.079618;18.2279
8339;KpSwiecGruczno;;Frantschach - Gruczno;;1997-01-01;2003-02-27;przemysłowa;pozamiejski;kontenerowa stacjonarna;;"Wybrano miejscowość SIMC: Gruczno (0097784). Podstawa korekty: nazwa GIOŚ GÓRNE GRUCZNO; w SIMC kandydat Gruczno w tej samej gminie bez rodzaju. Dodatkowe uwagi: nazwa opisowa/lokalna.";53.364722;18.316667
8339;KpSwiecGruczno2;PL0069A;02 - Gruczno;;2005-02-01;2011-12-31;przemysłowa;pozamiejski;kontenerowa stacjonarna;;"Wybrano miejscowość SIMC: Gruczno (0097784). Podstawa korekty: nazwa GIOŚ GÓRNE GRUCZNO; w SIMC kandydat Gruczno w tej samej gminie bez rodzaju. Dodatkowe uwagi: nazwa opisowa/lokalna.";53.355556;18.318333
6903;KpSwiecJPawlMOB;PL0816A;Świecie, al. Jana Pawła II;;2022-12-28;;tło;miejski;mobilna;al. Jana Pawła II 8;;53.40758;18.428751
6903;KpSwiecKolejowa;;Frantschach - stacja nr 1;;1995-03-10;2003-03-10;przemysłowa;podmiejski;kontenerowa stacjonarna;ul. Kolejowa 20;;53.398056;18.416389
8816;KpSwiecPrzechowo;PL0070A;01 Przechowo;;2005-02-01;2014-01-01;przemysłowa;podmiejski;kontenerowa stacjonarna;;"Wybrano miejscowość SIMC: Przechowo (0929687). Podstawa korekty: nazwa GIOŚ ŚWIECIE PRZECHOWO; w SIMC kandydat Przechowo w tej samej gminie bez rodzaju. Dodatkowe uwagi: wybrano bardziej szczegółowy człon lokalizacji: Przechowo.";53.398056;18.416389
6903;KpSwiecSadowa;PL0336A;"Świecie ""Sądowa""";;2003-03-16;2010-12-31;tło;miejski;w budynku;ul. Sądowa 5;;53.407222;18.453889
6845;KpToruDziewu;PL0071A;Toruń, ul. Dziewulskiego;KpTorunDziewulsk;1993-04-20;;tło;miejski;kontenerowa stacjonarna;ul. Dziewulskiego 1;;53.028647;18.666103
6845;KpToruKaszow;PL0072A;Toruń, ul. Przy Kaszowniku;KpTorunKaszownik;1997-01-01;;komunikacyjna;miejski;kontenerowa stacjonarna;ul. Przy Kaszowniku;;53.017628;18.612808
6845;KpTorunGagarina;PL0337A;"Toruń ""Gagarina""";;1988-01-20;2010-12-31;tło;miejski;w budynku;ul. Gagarina 34;;53.018333;18.565
6845;KpTorunKonstytucji;PL0338A;"Toruń ""Konstytucji""";;2003-03-16;2009-12-31;tło;miejski;w budynku;ul. Konstytucji 3-Maja 15;;53.023889;18.681667
6845;KpTorunKopernika;PL0339A;"Toruń ""Kopernika""";;1983-01-02;2010-12-31;tło;miejski;w budynku;ul. M. Kopernika 9;;53.009167;18.604167
6845;KpTorunLotnisko;PL0073A;Toruń, LOTNISKO;;1989-09-18;2008-12-16;tło;miejski;kontenerowa stacjonarna;ul. Bielańska 66;;53.028333;18.561678
6845;KpTorunOPSIS;;Toruń, OPSIS;;1995-06-01;2005-12-31;tło;miejski;kontenerowa stacjonarna;pl. Teatralny 2;;53.013611;18.604722
6845;KpTorunPoznanska;PL0340A;"Toruń ""Poznańska""";;2003-03-16;2009-12-31;tło;miejski;w budynku;ul. Poznańska 63;;52.993611;18.595278
6845;KpTorunSzpMiejski;PL0203A;Toruń Szpital Miejski;;2004-01-01;2010-12-31;tło;miejski;w budynku;ul. Batorego;;53.0225;18.620833
6845;KpToruStorczMOB;PL0688A;Toruń, ul. Storczykowa;KpAirpTorunIMGW;2018-01-01;2018-12-31;tło;miejski;mobilna;ul. Storczykowa 124;;53.041945;18.595036
6845;KpToruWSikor;PL0582A;Toruń, ul. Wały gen. Sikorskiego;KpAirpTorun;2012-03-01;;tło;miejski;kontenerowa stacjonarna;ul. Wały Gen. Sikorskiego 12;;53.012475;18.605681
6468;KpTuchPiast;PL0341A;Tuchola Piastowska;;2011-01-01;2014-01-01;tło;podmiejski;kontenerowa stacjonarna;ul. Piastowska;;53.585961;17.86935
6468;KpTuchPiastowska;;Tuchola;;1999-01-01;2010-12-31;tło;miejski;kontenerowa stacjonarna;ul. Piastowska 30;;53.585833;17.871667
7058;KpWabrzMuzeum;PL0204A;Wąbrzeźno - muzeum;;2005-04-01;2010-12-31;tło;miejski;w budynku;ul. 1 Maja 40;;53.279722;18.954167
7058;KpWabrzstmob;;Wąbrzeźno (stacja mobilna);;2005-01-01;2008-12-13;tło;miejski;mobilna;ul. Kętrzyńskiego 3;;53.278333;18.966667
4206;KpWieniecZdrMOB;PL0718A;Airponter Wieniec Zdrój;KpAirpWieniec;2018-12-28;2019-12-31;tło;podmiejski;mobilna;ul. Wieniecka;;52.656866;18.987368
4206;KpWieniZdroj;PL0689A;Wieniec Zdrój, ul. Wieniecka;;2018-01-01;;tło;podmiejski;wolnostojący pobornik pyłu;ul. Wieniecka;;52.656773;18.987456
4206;KpWienSanatorium;PL0342A;"Wieniec-Zdrój Sanatorium ""Jutrzenka""";;1981-01-01;2010-12-31;BRAK DANYCH;pozamiejski;kontenerowa stacjonarna;;;52.656944;18.988611
3584;KpWiktorowoG;PL0587A;Lafarge- Airpointer;KpAirpWiktorowo;2012-08-01;2015-01-01;przemysłowa;pozamiejski;kontenerowa stacjonarna;Wiktorowo 22;;52.822942;17.859031
7227;KpWloclChelmMOB;PL0605A;Airpointer Włocławek;KpAirpWlocWod;2015-01-01;2018-01-01;tło;podmiejski;mobilna;ul. Chełmicka;;52.672648;19.079261
7227;KpWloclGnia2;PL0703A;Włocławek, ul. Gniazdowskiego2;;2017-01-01;2017-12-31;tło;podmiejski;wolnostojący pobornik pyłu;ul. Gniazdowskiego 7;;52.651561;19.051886
7227;KpWloclGniaz;PL0690A;Włocławek, ul. Gniazdowskiego;;2017-04-01;;tło;podmiejski;wolnostojący pobornik pyłu;ul. Gniazdowskiego 7;;52.651561;19.051886
7227;KpWloclKalis;PL0664A;Włocławek, ul. Kaliska;;2018-12-01;;tło;miejski;kontenerowa stacjonarna;ul. Kaliska 108 A;;52.637394;19.044486
7227;KpWloclKilinskiego;PL0343A;"Włocławek ""Kilińskiego""";;2003-03-16;2010-12-31;tło;miejski;w budynku;ul. Kilińskiego 16;;52.656389;19.062778
7227;KpWloclLady;PL0074A;"Włocławek ""Łady""";;1996-01-01;2010-12-31;tło;miejski;w budynku;ul. Łady 10;;52.641944;19.0475
7227;KpWloclMalinowa;PL0344A;"Włocławek ""Malinowa""";;1995-01-03;2009-12-31;tło;miejski;w budynku;ul. Malinowa 5;;52.678611;19.051667
7227;KpWloclOkrze;PL0205A;Włocławek, ul. Okrzei;KpWloclOkrzei;2005-01-01;;komunikacyjna;miejski;kontenerowa stacjonarna;ul. Okrzei;;52.658467;19.059314
7227;KpWloclOpsis;;OPSIS Włocławek;;2002-06-01;2009-05-31;tło;miejski;w budynku;pl. Wolności;;52.663056;19.07
7227;KpWloclPlocka;PL0345A;"Włocławek ""Płocka""";;2003-03-16;2009-12-31;tło;miejski;w budynku;ul. Płocka 45;;52.654444;19.101667
7227;KpWloclSiels;PL0075A;"Włocławek Sielska ""DMD""";KpWloclSielska;1995-01-03;2017-03-31;tło;podmiejski;wolnostojący pobornik pyłu;ul. Sielska 3;;52.664721;19.036386
7227;KpWloclWSHE;;Włocławek WSHE;;2003-02-05;2005-01-31;komunikacyjna;miejski;w budynku;ul. Okrzei 94;;52.663056;19.056389
7227;KpWlocZytnia;PL0346A;"Włocławek ""Żytnia""";;1995-04-11;2009-12-31;przemysłowa;miejski;w budynku;ul. Żytnia 55;;52.646389;19.091111
6900;KpWolice;PL0076A;Lafarge-Wolice;;2001-09-01;2011-12-31;przemysłowa;pozamiejski;kontenerowa stacjonarna;;;52.854167;17.900278
4010;KpZielBoryTu;PL0077A;Zielonka, Bory Tucholskie;KpZielBoryTuch;2004-05-27;;tło;pozamiejski;kontenerowa stacjonarna;Bory Tucholskie;;53.662117;17.934017
6992;KpZninBrowarowa;PL0347A;Żnin;;2003-03-16;2010-12-31;tło;miejski;w budynku;ul. Browarowa 14;;52.851667;17.715556
6992;KpZninPotock;PL0348A;Żnin Starostwo Potockiego;KpZninPotockiego;2008-08-11;2016-01-01;tło;podmiejski;w budynku;ul. Potockiego 1;;52.848453;17.734086
13957;LbBialaPKopernika;PL0078A;PSSE-Biała-Kopernika;;1995-01-02;2009-12-31;tło;miejski;w budynku;ul. Kopernika 7;;52.034189;23.102736
13957;LbBialaPPl.TrzechKrzyzy;PL0080A;PSSE-Biała-Pl.TrzechKrzyży;;2004-03-01;2009-12-31;tło;miejski;kontenerowa stacjonarna;pl. Trzech Krzyży 4;;52.023856;23.116042
15862;LbBialySlupRPN;;Biały Słup;;2002-01-21;2005-12-31;tło;pozamiejski;w budynku;;;50.591742;22.997811
13957;LbBiaPodOrze;PL0079A;Biała Podlaska, ul. Orzechowa;LbBialaPOrzechowa;1993-04-07;;tło;miejski;kontenerowa stacjonarna;ul. Orzechowa;;52.029194;23.149389
15862;LbBiaSlupRPN;PL0349A;Biały Słup (RPN);LbBialySlupRPN_Auto;2006-01-01;2017-12-31;tło;pozamiejski;kontenerowa stacjonarna;;;50.590806;22.997889
14351;LbBilgorajWSSE;PL0350A;Biłgoraj ul. Dąbrowskiego;;1991-06-04;2008-12-31;tło;miejski;w budynku;ul. Dąbrowskiego 8;;50.533889;22.716667
12597;LbChelJagiel;PL0081A;Chełm ul. Jagiellońska;LbChelmJagWIOS;2000-04-01;2018-12-31;tło;podmiejski;wolnostojący pobornik pyłu;ul. Jagiellońska 64;;51.13095;23.514603
12597;LbChelmPolan;PL0744A;Chełm, ul. Połaniecka;LbChelPolan;2019-01-01;;tło;miejski;kontenerowa stacjonarna;ul. Połaniecka;;51.122147;23.473075
12597;LbChelmPolWSSE;PL0082A;Chełm ul. Połaniecka;;1991-04-16;2008-12-31;tło;miejski;w budynku;ul. Połaniecka 11;;51.122778;23.473333
12597;LbChelmSzpWSSE;PL0083A;Chełm ul. Szpitalna;;1980-01-05;2009-12-31;tło;miejski;w budynku;ul. Szpitalna 48;;51.150278;23.4575
12156;LbDorohWIOS;PL0084A;Dorohusk;;2001-07-01;2006-08-31;tło;pozamiejski;w budynku;ul. teren GZO;;51.175556;23.801667
16200;LbFlorianRPN;PL0691A;Florianka, RPN;;2018-01-01;;tło;pozamiejski;kontenerowa stacjonarna;;;50.551894;22.982861
10330;LbHrubieszowWIOS;PL0351A;Hrubieszów Gródecka;;2003-02-06;2009-12-31;tło;miejski;w budynku;ul. Gródecka 36;;50.804722;23.913056
10330;LbHrubieszowWSSE;;Hrubieszów Mickiewicza;;2002-01-02;2003-12-31;tło;miejski;w budynku;ul. Mickiewicza 2;;50.802778;23.896111
9616;LbJanowLubOkMOB;PL0781A;Janów Lubelski, ul. Okopowa;;2021-03-04;2022-12-31;tło;miejski;mobilna;ul. Okopowa;;50.715089;22.405266
12677;LbJarczWolaM;PL0002R;Jarczew, IMGW;LbJarczew;1985-10-01;;tło;pozamiejski;kontenerowa stacjonarna;;;51.814367;21.972375
10637;LbKra-awWSSE;PL0352A;Krasnystaw ul. Sikorskiego;;1990-01-18;2009-12-31;tło;miejski;w budynku;ul. Sikorskiego 3a;;50.981547;23.170486
9470;LbKrasKoszar;PL0353A;Kraśnik, ul. Koszarowa;LbKrasnikKoszarowa;2007-01-01;;tło;podmiejski;wolnostojący pobornik pyłu;ul. Koszarowa 10A;;50.928239;22.228308
9470;LbKrasnikSpoldziel;PL0354A;Kraśnik Ul. Spółdzielcza;;1994-01-25;2008-12-31;tło;miejski;w budynku;ul. Spółdzielcza 3;;50.927486;22.228567
14163;LbKrasnobrod;PL0761A;Krasnobród, ul. Sanatoryjna;LbKrasnobrodMOB;2020-01-16;;tło;podmiejski;wolnostojący pobornik pyłu;ul. Sanatoryjna;;50.549297;23.197317
14163;LbKrasnobrodWSSELel;;Krasnobród ul. Lelewela 2;;2002-01-23;2009-12-31;tło;miejski;w budynku;ul. Lelewela 2;;50.54385;23.215858
12734;LbLeczna1000Lecia;PL0269A;Łęczna ul. 1000-Lecia;;2006-09-01;2010-12-31;tło;miejski;kontenerowa stacjonarna;ul. 1000-Lecia 12;;51.30445;22.883331
11889;LbLublin_Chmielna;;Lublin ul. Chmielna;;1994-01-03;2002-12-31;tło;miejski;w budynku;ul. Chmielna 10;;51.251289;22.5558
11889;LbLublin_Krasn;PL0253A;Lublin Al. Kraśnicka;;2006-01-01;2010-05-10;tło;miejski;kontenerowa stacjonarna;al. Kraśnicka 2 CD;;51.247225;22.523883
11889;LbLublinMaszynowa;PL0356A;Lublin ul. Maszynowa;;1986-03-10;2009-12-31;tło;miejski;w budynku;ul. Maszynowa 2;;51.244431;22.595297
11889;LbLublinNadrzecz;;Lublin Ul. Nadrzeczna;;1991-01-02;2002-12-31;tło;miejski;w budynku;ul. Nadrzeczna 16;;51.222225;22.581822
11889;LbLublinObywat_13;PL0086A;Lublin ul. Obywatelska 13;;2000-10-04;2009-12-31;tło;miejski;w budynku;ul. Obywatelska 13;;51.259269;22.568522
11889;LbLublinOgrod;;Lublin Ogród Botaniczny;;2003-09-05;2006-12-31;tło;miejski;kontenerowa stacjonarna;ul. Sławinkowska 3;;51.263964;22.514581
